Index,Amplitude (0-4096)
0,1664
1,2096
2,2593
3,3034
4,3216
5,3021
6,2707
7,239
8,2018
9,1734
10,1481
11,1277
12,1092
13,976
14,895
15,857
16,885
17,928
18,988
19,105
20,1072
21,1082
22,1082
23,1066
24,1045
25,104
26,104
27,105
28,1083
29,1088
30,113
31,1141
32,1181
33,1225
34,1247
35,1296
36,1313
37,1337
38,136
39,1394
40,1482
41,169
42,2164
43,2686
44,3056
45,319
46,3021
47,2718
48,2382
49,2032
50,1742
51,1497
52,1289
53,1118
54,1
55,902
56,874
57,848
58,896
59,944
60,993
61,1023
62,1037
63,104
64,1035
65,996
66,1011
67,101
68,1023
69,1052
70,1073
71,1098
72,1139
73,1158
74,1201
75,1232
76,1264
77,1307
78,1322
79,1343
80,1373
81,1453
82,1593
83,1969
84,25
85,2927
86,3142
87,3018
88,2743
89,2407
90,2102
91,1779
92,1533
93,1312
94,1156
95,1015
96,913
97,874
98,883
99,922
100,967
101,1021
102,1067
103,1095
104,1077
105,1061
106,1046
107,1061
108,105
109,1051
110,1063
111,1095
112,1103
113,1141
114,1184
115,1211
116,1236
117,1248
118,1291
119,1321
120,1354
121,1409
122,1559
123,1907
124,2438
125,2853
126,3094
127,298
128,2706
129,2393
130,2047
131,1746
132,1488
133,1283
134,109
135,969
136,88
137,842
138,845
139,911
140,965
141,1017
142,1051
143,1065
144,1049
145,1043
146,101
147,1021
148,1007
149,1033
150,104
151,1065
152,1086
153,1123
154,1146
155,1184
156,122
157,1262
158,1279
159,1283
160,1325
161,1363
162,1456
163,1726
164,2253
165,2783
166,3117
167,3161
168,2948
169,2631
170,2283
171,1942
172,165
173,1408
174,1227
175,1062
176,942
177,87
178,852
179,912
180,1009
181,1134
182,1199
183,1214
184,1177
185,1123
186,1073
187,1006
188,97
189,96
190,983
191,995
192,1023
193,1072
194,1095
195,1093
196,1087
197,1098
198,1085
199,1083
200,109
201,115
202,1181
203,1308
204,1719
205,2411
206,3147
207,3792
208,395
209,3567
210,3025
211,2559
212,2177
213,1783
214,1458
215,117
216,912
217,713
218,562
219,461
220,433
221,406
222,437
223,482
224,507
225,56
226,598
227,623
228,619
229,639
230,674
