Index,Amplitude (0-4096)
0,1089
1,1328
2,1520
3,1666
4,1744
5,1806
6,1829
7,1856
8,1853
9,1846
10,1873
11,1959
12,1999
13,2030
14,2009
15,2009
16,1925
17,1821
18,1701
19,1535
20,1249
21,1054
22,799
23,602
24,452
25,397
26,339
27,302
28,313
29,320
30,330
31,340
32,336
33,373
34,445
35,471
36,679
37,934
38,1165
39,1381
40,1535
41,1675
42,1755
43,1831
44,1854
45,1879
46,1921
47,1957
48,2064
49,2086
50,2155
51,2137
52,2069
53,2013
54,1869
55,1791
56,1621
57,1350
58,1095
59,870
60,691
61,541
62,464
63,427
64,416
65,370
66,380
67,356
68,338
69,332
70,391
71,399
72,523
73,731
74,980
75,1246
76,1455
77,1617
78,1725
79,1822
80,1747
81,1949
82,2047
83,2103
84,2079
85,2213
86,2174
87,2127
88,2023
89,1900
90,1779
91,1670
92,1417
93,1199
94,991
95,806
96,661
97,554
98,498
99,464
100,452
101,440
102,426
103,407
104,436
105,400
106,416
107,464
108,627
109,858
110,1089
111,1298
112,1460
113,1600
114,1723
115,1775
116,1858
117,1965
118,2064
119,2115
120,2135
121,2110
122,2020
123,1953
124,1803
125,1695
126,1578
127,1328
128,1104
129,933
130,746
131,642
132,560
133,487
134,501
135,446
136,453
137,415
138,427
139,432
140,407
141,477
142,487
143,654
144,869
145,1082
146,1275
147,1456
148,1599
149,1727
150,1760
151,1811
152,1844
153,1917
154,2003
155,2055
156,2082
157,1990
158,1938
159,1846
160,1737
161,1587
162,1311
163,1088
164,839
165,695
166,548
167,450
168,391
169,361
170,328
171,351
172,357
173,346
174,337
175,350
176,378
177,422
178,549
179,777
180,995
181,1221
182,1421
183,1535
184,1657
185,1744
186,1772
187,1825
188,1874
189,1930
190,1968
191,1975
192,1983
193,1926
194,1821
195,1717
196,1646
197,1385
198,1152
199,908
200,720
201,572
202,473
203,405
204,368
205,320
206,368
207,351
208,343
209,335
210,367
211,397
212,449
213,464
214,647
215,889
216,1106
217,1312
218,1485
219,1590
220,1630
221,1735
222,1765
223,1781
224,1808
225,1850
226,1925
227,1950
228,1936
229,1907
230,1811
231,1684
232,1651
233,1430
234,1200
235,977
236,656
237,557
238,390
239,368
240,318
241,304
242,326
243,326
244,370
245,338
246,331
247,394
248,427
249,432
250,656
251,874
252,1117
253,1342
254,1523
255,1655
256,1725
257,1783
258,1808
259,1844
260,1829
261,1773
262,1829
263,1822
264,1838
265,1872
266,1869
267,1838
268,1744
269,1648
270,1586
271,1323
272,1093
273,816
274,635
275,429
276,307
277,142
278,208
279,172
280,203
281,231
282,272
283,258
284,255
285,312
286,356
287,368
288,589
289,831
290,1088
291,1298
292,1490
293,1611
294,1695
295,1757
296,1795
297,1808
298,1795
299,1786
300,1762
301,1712
302,1688
303,1694
304,1695
305,1735
306,1715
307,1687
308,1600
309,1568
310,1443
311,1173
312,901
313,673
314,471
315,335
316,239
317,207
318,179
319,194
320,198
321,256
322,265
323,295
324,318
325,363
326,366
327,507
328,761
329,990
330,1233
331,1447
332,1571
333,1650
334,1710
335,1744
336,1771
337,1781
338,1770
339,1750
340,1754
341,1763
342,1799
343,1819
344,1814
345,1743
346,1666
347,1616
348,1398
349,1143
350,907
351,659
352,464
353,331
354,229
355,174
356,168
357,166
358,197
359,224
360,259
361,273
362,320
363,342
364,400
365,490
366,719
367,960
368,1195
369,1407
370,1535
371,1650
372,1706
373,1729
374,1758
375,1757
376,1743
377,1769
378,1814
379,1866
380,1897
381,1888
382,1818
383,1719
384,1658
385,1498
386,1235
387,991
388,751
389,544
390,394
391,306
392,245
393,217
394,227
395,222
396,256
397,212
398,304
399,337
400,314
401,368
402,423
403,567
404,784
405,1021
406,1216
407,1415
408,1535
409,1635
410,1674
411,1707
412,1715
413,1993
414,1767
415,1825
416,1857
417,1875
418,1842
419,1780
420,1708
421,1664
422,1429
423,1183
424,937
425,717
426,500
427,367
428,268
