Index,Amplitude (0-4096)
0,2736
1,2474
2,2189
3,1962
4,1740
5,1641
6,1602
7,1615
8,1671
9,1689
10,1706
11,1725
12,1833
13,1911
14,1987
15,2032
16,2081
17,2129
18,2204
19,2230
20,2286
21,2315
22,2345
23,2391
24,2397
25,2388
26,2469
27,2784
28,3146
29,3269
30,3190
31,2974
32,2927
33,2743
34,2454
35,2183
36,1934
37,1722
38,1583
39,1520
40,1520
41,1597
42,1609
43,1632
44,1631
45,1674
46,1745
47,1818
48,1898
49,1974
50,2043
51,2123
52,2181
53,2248
54,2295
55,2325
56,2335
57,2375
58,2471
59,2655
60,3043
61,3213
62,3131
63,2919
64,2829
65,2763
66,2430
67,2138
68,1909
69,1767
70,1698
71,1683
72,1715
73,1766
74,1751
75,1709
76,1742
77,1763
78,1854
79,1919
80,2017
81,2104
82,2177
83,2255
84,2303
85,2342
86,2378
87,2394
88,2415
89,2427
90,2421
91,2559
92,2887
93,3230
94,3226
95,3031
96,2894
97,2880
98,2531
99,2213
100,1971
101,1798
102,1706
103,1650
104,1665
105,1681
106,1698
107,1675
108,1663
109,1716
110,1808
111,1840
112,2042
113,2137
114,2217
115,2288
116,2322
117,2388
118,2448
119,2474
120,2480
121,2528
122,2741
123,3182
124,3408
125,3258
126,3063
127,2923
128,2794
129,2491
130,2221
131,1998
132,1871
133,1797
134,1779
135,1828
136,1776
137,1781
138,1790
139,1800
140,1899
141,1998
142,2096
143,2168
144,2256
145,2302
146,2396
147,2432
148,2442
149,2499
150,2557
151,2625
152,2846
153,3330
154,3471
155,3354
156,3133
157,2941
158,2889
159,2505
160,2196
161,1978
162,1904
163,1836
164,1872
165,1830
166,1799
167,1821
168,1831
169,1847
170,1937
171,2019
172,2149
173,2224
174,2320
175,2391
176,2421
177,2471
178,2523
179,2559
180,2737
181,3157
182,3463
183,3456
184,3275
185,3067
186,2906
187,2769
188,2419
189,2135
190,1967
191,1902
192,1887
193,1868
194,1813
195,1830
196,1845
197,1864
198,1895
199,1990
200,2098
201,2190
202,2283
203,2369
204,2435
205,2496
206,2535
207,2589
208,2655
209,2896
210,3386
211,3693
212,3520
213,3215
214,3062
215,2894
216,2710
217,2386
218,2182
219,2041
220,1956
221,1955
222,1857
223,1829
224,1807
225,1837
226,1873
227,1934
228,2059
229,2151
230,2247
231,2357
232,2432
233,2486
234,2544
235,2588
236,2618
237,2629
238,2704
239,2957
240,3487
241,3675
242,3471
243,3168
244,2945
245,2880
246,2592
247,2348
248,2189
249,2093
250,1998
251,1958
252,1882
253,1821
254,1840
255,1875
256,1931
257,1994
258,2102
259,2224
260,2311
261,2403
262,2480
263,2541
264,2540
265,2618
266,2659
267,2667
268,2702
269,2811
270,3129
271,3557
272,3632
273,3393
274,3044
275,2846
276,2771
277,2474
278,2247
279,2107
280,2021
281,1991
282,1903
283,1840
284,1787
285,1824
286,1874
287,1930
288,2031
289,2151
290,2265
291,2364
292,2464
293,2524
294,2559
295,2624
296,2672
297,2704
298,2721
299,2832
300,3117
301,3515
302,3506
303,3245
304,2976
305,2827
306,2666
307,2448
308,2271
309,2181
310,2116
311,2033
312,1957
313,1936
314,1891
315,1924
316,1974
317,2065
318,2160
319,2263
320,2358
321,2462
322,2528
323,2592
324,2640
325,2655
326,2697
327,2718
328,2863
329,3126
330,3504
331,3566
332,3343
333,3035
334,2906
335,2789
336,2533
337,2306
338,2160
339,2064
340,2030
341,1951
342,1882
343,1840
344,1858
345,1899
346,1968
347,2060
348,2147
349,2241
350,2374
351,2448
352,2535
353,2613
354,2639
355,2723
356,2690
357,2733
358,2957
359,3418
360,3664
361,3532
362,3241
363,2986
364,2909
365,2688
366,2396
367,2207
368,2101
369,2031
370,1981
371,1936
372,1909
373,1846
374,1634
375,1872
376,1946
377,2042
378,2158
379,2224
380,2379
381,2477
382,2544
383,2559
384,2622
385,2644
386,2665
387,2703
388,2817
389,3186
390,3599
391,3614
392,3397
393,3109
394,2987
395,2842
396,2542
397,2244
398,2101
399,1983
400,1951
401,1921
402,1744
403,1821
404,1803
405,1775
406,1826
407,1888
408,2035
409,2160
410,2273
411,2383
412,2434
413,2517
414,2559
415,2625
416,2647
417,2674
418,2703
419,2726
420,2917
421,3363
422,3600
423,3477
424,3178
425,2987
426,2896
427,2664
428,2366
429,2160
430,2020
431,1936
432,1893
433,1867
434,1843
435,1829
436,1781
437,1801
438,1872
439,1984
440,2110
441,2217
442,2337
443,2435
444,2493
445,2544
446,2599
447,2631
448,2651
449,2657
450,2650
451,2641
452,2704
453,2992
454,3474
455,3523
456,3302
457,3005
458,2950
459,2740
460,2420
461,2199
462,2032
463,1927
464,1882
465,1846
466,1827
467,1804
468,1802
469,1739
470,1777
471,1875
472,2006
473,2121
474,2239
475,2348
476,2419
477,2490
478,2533
479,2590
480,2635
481,2647
482,2658
483,2640
484,2640
485,2633
486,2794
487,3152
488,3363
489,3244
490,2974
491,2900
492,2745
493,2492
494,2273
495,2117
496,2032
497,1963
498,1922
499,1906
500,1903
501,1885
502,1831
503,1835
504,1901
505,2000
506,2123
507,2223
508,2321
509,2402
510,2457
511,2514
512,2557
513,2559
514,2599
515,2610
516,2611
517,2681
518,2934
519,3290
520,3351
521,3165
522,2903
523,2890
524,2666
525,2387
526,2190
527,2066
528,1975
529,1939
530,1923
531,1915
532,1901
533,1885
534,1844
535,1888
536,1987
537,2078
538,2180
539,2285
540,2361
541,2438
542,2484
543,2526
544,2559
545,2591
546,2624
547,2763
548,3087
549,3429
550,3405
551,3181
552,2943
553,2910
554,2656
555,2367
556,2165
557,2032
558,1943
559,1919
560,1895
561,1913
562,1879
563,1868
564,1874
565,1817
566,1943
567,2038
568,2178
569,2273
570,2350
571,2416
572,2482
573,2512
574,2544
575,2559
576,2607
577,2618
578,2813
579,3269
580,3538
581,3414
582,3141
583,2994
584,2896
585,2607
586,2291
587,2087
588,1954
589,1926
590,1904
591,1882
592,1886
593,1845
594,1847
595,1808
596,1837
597,1945
598,2075
599,2176
600,2263
601,2339
602,2393
603,2448
604,2496
605,2533
606,2611
607,2824
608,3310
609,3575
610,3558
611,3383
612,3131
613,3088
614,2955
615,2673
616,2352
617,2120
618,1963
619,1863
620,1826
621,1841
622,1876
