Index,Amplitude (0-4096)
0,1239
1,1226
2,1171
3,1142
4,1148
5,1161
6,1158
7,1170
8,1131
9,1137
10,1103
11,1114
12,1118
13,1116
14,1126
15,1193
16,1307
17,1463
18,1514
19,1503
20,1467
21,1406
22,1391
23,1389
24,1339
25,1337
26,1299
27,1293
28,1279
29,1235
30,1173
31,1202
32,1190
33,1200
34,1146
35,1165
36,1154
37,1150
38,1138
39,1174
40,1139
41,1135
42,1123
43,1129
44,1122
45,1119
46,1195
47,1298
48,1424
49,1535
50,1535
51,1513
52,1439
53,1429
54,1443
55,1410
56,1389
57,1339
58,1275
59,1270
60,1259
61,1235
62,1183
63,1178
64,1193
65,1179
66,1162
67,1173
68,1197
69,1200
70,1148
71,1139
72,1149
73,1150
74,1182
75,1146
76,1155
77,1154
78,1152
79,1194
80,1248
81,1358
82,1493
83,1584
84,1616
85,1558
86,1522
87,1474
88,1485
89,1456
90,1424
91,1380
92,1323
93,1303
94,1279
95,1273
96,1216
97,1232
98,1193
99,1186
100,1230
101,1173
102,1194
103,1145
104,1187
105,1159
106,1216
107,1152
108,1167
109,1152
110,1168
111,1162
112,1181
113,1239
114,1344
115,1472
116,1577
117,1602
118,1562
119,1504
120,1508
121,1447
122,1411
123,1417
124,1371
125,1331
126,1303
127,1271
128,1232
129,1233
130,1251
131,1216
132,1249
133,1214
134,1182
135,1218
136,1209
137,1218
138,1183
139,1165
140,1154
141,1154
142,1174
143,1175
144,1286
145,1397
146,1517
147,1583
148,1566
149,1472
150,1511
151,1462
152,1429
153,1328
154,1360
155,1291
156,1284
157,1251
158,1259
159,1234
160,1233
161,1209
162,1231
163,1206
164,1195
165,1247
166,1211
167,1158
168,1219
169,1211
170,1170
171,1199
172,1184
173,1157
174,1200
175,1207
176,1297
177,1424
178,1486
179,1456
180,1473
181,1487
182,1415
183,1373
184,1332
185,1291
186,1212
187,1199
188,1215
189,1181
190,1191
191,1197
192,1195
193,1173
194,1136
195,1181
196,1136
197,1126
198,1104
199,1159
200,1143
201,1087
202,1092
203,1047
204,1105
205,1116
206,1145
207,1168
208,1325
209,1413
210,1403
211,1438
212,1425
213,1378
214,1342
215,1342
216,1210
217,1090
218,1122
219,1152
220,1093
221,1115
222,1061
223,1143
224,1104
225,1109
226,1136
227,1123
228,1123
229,1094
230,1141
231,1135
232,1104
233,1088
234,1130
235,1083
236,1104
237,1122
238,1001
239,1126
240,1152
241,1249
242,1343
243,1387
244,1399
245,1426
246,1375
247,1320
248,1235
249,1138
250,1137
251,1125
252,1133
253,1200
254,1234
255,1121
256,1147
257,1130
258,1135
259,1134
260,1104
261,1135
262,1152
263,1135
264,1136
265,1118
266,1103
267,1151
268,1106
269,1106
270,1136
271,1086
272,1116
273,1186
274,1292
275,1298
276,1346
277,1248
278,1373
279,1333
280,1281
281,1229
282,1194
283,1174
284,1169
285,1172
286,1177
287,1133
288,1152
289,1133
290,1104
291,1153
292,1165
293,1104
294,1147
295,1126
296,1133
297,1119
298,1169
299,1066
300,1111
301,1119
302,1134
303,1131
304,1142
305,1264
306,1358
307,1405
308,1397
309,1407
310,1403
311,1402
312,1316
313,1291
314,1227
315,1200
316,1191
317,1114
318,1200
319,1199
320,1177
321,1151
322,1090
323,1079
324,1190
325,1148
326,1127
327,1104
328,1053
329,1074
330,1102
331,1070
332,1055
333,1066
334,1090
335,1086
336,1069
337,1168
338,1266
339,1338
340,1342
341,1334
342,1330
343,1284
344,1324
345,1277
346,1367
347,1265
348,1234
349,1190
350,1217
351,1165
352,1114
353,1109
354,1138
355,1120
356,1154
357,1081
358,1095
359,1062
360,1114
361,1042
362,1077
363,1058
364,1088
365,1077
366,1078
367,1089
368,1161
369,1225
370,1333
371,1360
372,1344
373,1307
374,1386
375,1328
376,1290
377,1283
378,1274
379,1295
380,1375
381,1203
382,1178
383,1153
384,1187
385,1151
386,1136
387,1124
388,1141
389,1121
390,1153
391,1104
392,1157
393,1147
394,1136
395,1095
396,1093
397,1083
398,1093
399,1108
400,1184
401,1313
402,1406
403,1415
404,1406
405,1360
406,1333
407,1314
408,1310
409,1290
410,1293
411,1262
412,1245
413,1210
414,1191
415,1184
416,1158
417,1157
418,1185
419,1169
420,1184
421,1184
422,1187
423,1187
424,1168
425,1183
426,1165
427,1179
428,1197
429,1219
430,1283
431,1377
432,1456
433,1487
434,1487
435,1445
436,1418
437,1370
438,1355
439,1359
440,1297
441,1290
442,1295
443,1267
444,1222
445,1217
446,1207
447,1200
448,1207
449,1204
450,1215
451,1211
452,1193
453,1192
454,1188
455,1191
456,1198
457,1197
458,1242
459,1328
460,1431
461,1522
462,1582
463,1535
464,1488
465,1442
466,1469
467,1406
468,1376
469,1357
470,1347
471,1330
472,1255
473,1237
474,1278
475,1232
476,1214
477,1211
478,1214
479,1200
480,1189
481,1189
482,1182
483,1190
484,1200
485,1186
486,1210
487,1245
488,1345
489,1482
490,1585
491,1621
492,1591
493,1523
494,1469
495,1456
496,1422
497,1392
498,1363
499,1355
500,1297
501,1270
502,1300
503,1239
504,1215
505,1236
506,1201
507,1213
508,1204
509,1197
510,1201
511,1183
512,1206
513,1167
514,1168
515,1168
516,1201
517,1277
518,1390
519,1481
520,1509
521,1498
522,1425
523,1394
